,prix,kilometrage,energie,capacite,cO2,transmission,portes,CV,date
111,15000.0,78000.0,Hybride,5.0,91.0,Automatique,4.0,5.0,2017.0
112,7500.0,240000.0,Diesel,5.0,193.0,Manuelle,4.0,9.0,2006.0
113,900.0,360000.0,Diesel,5.0,,Manuelle,4.0,7.0,1998.0
114,2800.0,206000.0,Diesel,5.0,115.0,Manuelle,4.0,4.0,2005.0
115,21999.0,10.0,Essence,5.0,,Manuelle,4.0,6.0,2020.0
116,3000.0,283.0,Diesel,5.0,134.0,Manuelle,4.0,6.0,2007.0
117,27650.0,35750.0,Diesel,5.0,117.0,Automatique,4.0,7.0,2017.0
118,1200.0,166000.0,Essence,5.0,,Manuelle,2.0,6.0,1997.0
119,2100.0,180150.0,Essence,5.0,,Manuelle,4.0,6.0,1997.0
120,12000.0,9000.0,Essence,5.0,113.0,Manuelle,4.0,5.0,2018.0
121,4000.0,181000.0,Diesel,5.0,120.0,Manuelle,4.0,4.0,2009.0
122,9500.0,102000.0,Essence,5.0,135.0,Manuelle,4.0,6.0,2014.0
123,2800.0,90587.0,Essence,2.0,,Manuelle,2.0,,1982.0
124,150.0,150000.0,Essence,5.0,,Manuelle,4.0,,1966.0
125,3800.0,185000.0,Diesel,5.0,134.0,Manuelle,4.0,6.0,2008.0
126,7000.0,150000.0,Diesel,5.0,114.0,Manuelle,4.0,5.0,2010.0
127,1600.0,330000.0,Diesel,5.0,,Manuelle,4.0,5.0,2001.0
128,500.0,340000.0,Diesel,2.0,,Manuelle,2.0,7.0,1988.0
129,16490.0,146000.0,Diesel,5.0,139.0,Automatique,4.0,10.0,2011.0
130,23500.0,124500.0,Diesel,5.0,,Automatique,5.0,13.0,
131,21999.0,10.0,Essence,5.0,,Manuelle,4.0,6.0,2020.0
132,6490.0,74715.0,Diesel,5.0,,Manuelle,5.0,5.0,
133,4500.0,47000.0,Diesel,5.0,120.0,Manuelle,4.0,4.0,2009.0
134,8900.0,45225.0,Essence,5.0,113.0,,4.0,5.0,
135,8500.0,175000.0,Diesel,5.0,109.0,Manuelle,4.0,6.0,2013.0
136,26400.0,16901.0,Essence,7.0,,,4.0,7.0,
137,7490.0,161200.0,Diesel,7.0,135.0,Manuelle,4.0,6.0,2011.0
138,6900.0,142004.0,Essence,5.0,139.0,,4.0,6.0,
139,8700.0,17200.0,Essence,5.0,117.0,Manuelle,4.0,4.0,2019.0
140,900.0,179000.0,Essence,5.0,173.0,Manuelle,4.0,7.0,2002.0
141,4990.0,233000.0,Diesel,5.0,114.0,Semi automatique,4.0,6.0,2011.0
142,7900.0,26841.0,Essence,4.0,108.0,,4.0,4.0,
143,9400.0,41213.0,Essence,5.0,132.0,,4.0,5.0,
144,43200.0,27500.0,Diesel,5.0,133.0,Semi automatique,4.0,10.0,2019.0
145,12990.0,99861.0,Diesel,5.0,117.0,,4.0,7.0,
146,16490.0,19000.0,Essence,5.0,103.0,Manuelle,4.0,5.0,2018.0
147,21999.0,10.0,Essence,5.0,,Manuelle,4.0,6.0,2020.0
148,11400.0,46193.0,Diesel,5.0,85.0,,4.0,4.0,
149,5990.0,209900.0,Diesel,,,Manuelle,4.0,,2013.0
150,1990.0,172000.0,Essence,,,Manuelle,5.0,7.0,2003.0
151,10700.0,145000.0,Diesel,5.0,139.0,Manuelle,4.0,9.0,2009.0
152,17490.0,6990.0,Essence,,,Manuelle,5.0,5.0,2020.0
153,15950.0,89700.0,Diesel,,,Manuelle,4.0,,2016.0
154,16999.0,78500.0,Essence,5.0,,Automatique,4.0,6.0,
155,12999.0,14078.0,Essence,5.0,,Manuelle,4.0,5.0,
156,24990.0,10.0,Essence,,104.0,Manuelle,4.0,6.0,
157,26690.0,10.0,Essence,,109.0,Automatique,4.0,7.0,
158,15690.0,10.0,Essence,,99.0,Manuelle,4.0,5.0,
159,15790.0,10.0,Essence,,100.0,Manuelle,4.0,5.0,
160,15490.0,10.0,Essence,,99.0,Manuelle,4.0,5.0,
161,15790.0,10.0,Essence,,99.0,Manuelle,4.0,5.0,
162,15990.0,10.0,Essence,,99.0,Manuelle,4.0,5.0,
163,20499.0,10.0,Essence,,100.0,Manuelle,4.0,5.0,2019.0
164,30690.0,10.0,Diesel,,100.0,Automatique,4.0,7.0,
165,18498.0,10.0,Essence,,99.0,Manuelle,4.0,8.0,
166,10990.0,69237.0,Diesel,,114.0,Manuelle,4.0,7.0,
167,18490.0,23801.0,Essence,,134.0,Automatique,4.0,9.0,
168,19990.0,61558.0,Diesel,,111.0,Manuelle,4.0,7.0,
169,23790.0,42700.0,Essence,,123.0,Automatique,4.0,10.0,
170,16490.0,23520.0,Essence,,131.0,Manuelle,4.0,7.0,
171,19290.0,117571.0,Diesel,,135.0,Automatique,4.0,11.0,
172,10290.0,106272.0,Diesel,,99.0,Manuelle,2.0,5.0,
173,17490.0,45218.0,Essence,,130.0,Automatique,4.0,9.0,
174,12990.0,31380.0,Essence,,111.0,Manuelle,4.0,5.0,
175,20990.0,74000.0,Diesel,,104.0,Automatique,4.0,7.0,
176,9990.0,40225.0,Essence,,120.0,Manuelle,4.0,5.0,
177,12990.0,5899.0,Essence,,108.0,Manuelle,4.0,4.0,
178,8990.0,23940.0,Essence,,115.0,Manuelle,2.0,4.0,
179,21999.0,10.0,Essence,5.0,,Manuelle,4.0,6.0,2020.0
180,9290.0,115290.0,Diesel,,105.0,Manuelle,4.0,5.0,
181,8490.0,110076.0,Essence,,105.0,Manuelle,4.0,5.0,
182,13290.0,102209.0,Diesel,,113.0,Manuelle,4.0,7.0,
183,13990.0,28959.0,Diesel,,85.0,Manuelle,4.0,5.0,
184,16490.0,24855.0,Essence,,103.0,Manuelle,4.0,5.0,
185,18790.0,11005.0,Essence,,104.0,Manuelle,4.0,5.0,
186,8990.0,75501.0,Essence,,124.0,Manuelle,4.0,5.0,
187,23290.0,20100.0,Diesel,,101.0,Manuelle,4.0,7.0,
188,17990.0,23705.0,Essence,,132.0,Manuelle,4.0,7.0,
189,7990.0,45647.0,Essence,,117.0,Manuelle,2.0,4.0,
190,40990.0,13698.0,,,31.0,Automatique,4.0,9.0,
191,31490.0,7020.0,Diesel,,123.0,Automatique,4.0,8.0,
192,11490.0,20160.0,Essence,,144.0,Manuelle,4.0,7.0,
193,13990.0,81251.0,Diesel,,110.0,Manuelle,4.0,7.0,
194,19490.0,6855.0,Essence,,103.0,Manuelle,4.0,7.0,
195,20499.0,10.0,Essence,,100.0,Manuelle,4.0,5.0,2019.0
196,20990.0,6285.0,Essence,,108.0,Manuelle,4.0,6.0,
197,6490.0,96399.0,Diesel,,87.0,Manuelle,4.0,5.0,
198,9990.0,8717.0,Essence,,93.0,Manuelle,2.0,4.0,
199,12490.0,71061.0,Essence,,135.0,Manuelle,4.0,9.0,
200,8990.0,82885.0,Diesel,,95.0,Manuelle,4.0,4.0,
201,22990.0,19286.0,Diesel,,106.0,Automatique,4.0,7.0,
202,11990.0,34079.0,Essence,,113.0,Manuelle,4.0,5.0,
203,7990.0,110817.0,Diesel,,103.0,Manuelle,4.0,6.0,
204,18990.0,110041.0,Diesel,,106.0,Automatique,4.0,7.0,
205,24035.0,5835.0,Essence,,110.0,Automatique,4.0,6.0,
206,14490.0,46703.0,Essence,,116.0,Manuelle,4.0,7.0,
207,14490.0,106880.0,Diesel,,109.0,Automatique,4.0,9.0,
208,19990.0,329.0,Essence,,127.0,Manuelle,4.0,7.0,
209,21900.0,10.0,Diesel,5.0,,,4.0,6.0,
210,1000.0,40000.0,Essence,4.0,,Manuelle,2.0,,1977.0
211,21999.0,10.0,Essence,5.0,,Manuelle,4.0,6.0,2020.0
212,20300.0,10.0,Essence,5.0,,,4.0,7.0,
213,12200.0,16669.0,Essence,5.0,93.0,,4.0,4.0,
214,9990.0,59730.0,Essence,5.0,,Manuelle,,5.0,2017.0
215,10800.0,160000.0,Diesel,5.0,99.0,Manuelle,4.0,5.0,2014.0
216,22000.0,84800.0,Essence,4.0,270.0,Automatique,2.0,35.0,2006.0
217,3900.0,150800.0,Diesel,5.0,,Manuelle,,6.0,2008.0
218,8300.0,159300.0,Diesel,5.0,82.0,Manuelle,4.0,5.0,2016.0
219,5000.0,185000.0,Diesel,5.0,,Manuelle,,8.0,2007.0
220,14200.0,127200.0,Diesel,5.0,,Manuelle,,10.0,2013.0
221,59990.0,43950.0,Essence,,,Automatique,,33.0,
222,8990.0,199500.0,Diesel,,,Manuelle,2.0,9.0,2008.0
223,8700.0,33000.0,Essence,,,Manuelle,4.0,4.0,2018.0
225,32000.0,102000.0,Essence,4.0,,Automatique,2.0,25.0,1990.0
226,12999.0,84521.0,Essence,5.0,,Manuelle,4.0,7.0,2016.0
227,21999.0,10.0,Essence,5.0,,Manuelle,4.0,6.0,2020.0
228,25999.0,1842.0,Diesel,5.0,,Manuelle,4.0,7.0,2020.0
229,37999.0,11400.0,Diesel,5.0,,Automatique,4.0,9.0,2019.0
230,12999.0,19994.0,Essence,5.0,,Manuelle,4.0,4.0,
231,16799.0,12052.0,Diesel,5.0,,Manuelle,4.0,5.0,2019.0
232,27489.0,8500.0,Essence,5.0,,Automatique,4.0,7.0,2020.0
233,15995.0,5530.0,Essence,5.0,,Manuelle,4.0,5.0,2019.0
234,18495.0,11974.0,Essence,5.0,,Manuelle,4.0,5.0,2020.0
235,24790.0,500.0,Essence,5.0,,Automatique,4.0,7.0,2020.0
236,29490.0,3200.0,Essence,5.0,,Manuelle,4.0,7.0,2020.0
237,44000.0,2500.0,,5.0,36.0,Automatique,4.0,11.0,2020.0
238,15999.0,20051.0,Essence,5.0,,Manuelle,4.0,4.0,2019.0
239,15999.0,21506.0,Essence,5.0,,Automatique,4.0,5.0,2017.0
240,16199.0,12000.0,Essence,5.0,,Manuelle,4.0,4.0,2019.0
241,18699.0,18717.0,Essence,5.0,,Automatique,4.0,6.0,2019.0
242,18799.0,20564.0,Essence,5.0,,Manuelle,4.0,5.0,2019.0
243,21999.0,10.0,Essence,5.0,,Manuelle,4.0,6.0,2020.0
244,18999.0,10791.0,Essence,5.0,,Manuelle,4.0,7.0,2019.0
245,21499.0,7500.0,Essence,5.0,,Automatique,4.0,5.0,2020.0
246,32999.0,12309.0,Diesel,5.0,,Automatique,4.0,6.0,
247,37499.0,12500.0,Diesel,5.0,,Automatique,4.0,9.0,
248,39999.0,3492.0,,5.0,,Automatique,4.0,8.0,2020.0
249,13999.0,98280.0,Diesel,5.0,,Manuelle,4.0,5.0,
250,13999.0,36897.0,Diesel,5.0,,Manuelle,4.0,5.0,
251,14399.0,73967.0,Diesel,5.0,,Manuelle,4.0,6.0,2016.0
252,15999.0,30194.0,Essence,5.0,,Manuelle,4.0,4.0,2017.0
253,15999.0,43505.0,Diesel,5.0,,Manuelle,4.0,5.0,2017.0
254,18999.0,33191.0,Essence,5.0,,Manuelle,4.0,6.0,2016.0
255,19999.0,13688.0,Essence,5.0,,Automatique,4.0,5.0,2020.0
256,33999.0,8997.0,Diesel,7.0,,Automatique,4.0,6.0,
257,36999.0,5531.0,Diesel,7.0,,Automatique,4.0,6.0,2020.0
258,13499.0,71661.0,Diesel,5.0,,Manuelle,4.0,5.0,
259,21999.0,10.0,Essence,5.0,,Manuelle,4.0,6.0,2020.0
260,19999.0,12326.0,Diesel,5.0,,Manuelle,4.0,5.0,2020.0
261,21599.0,11871.0,Diesel,5.0,91.0,Manuelle,4.0,5.0,2020.0
262,25999.0,47278.0,Diesel,5.0,,Automatique,4.0,6.0,2018.0
263,29999.0,2129.0,Essence,5.0,,Automatique,4.0,8.0,
264,29999.0,26142.0,Diesel,5.0,,Automatique,4.0,6.0,
265,30499.0,21154.0,Diesel,5.0,,Automatique,4.0,6.0,
266,31799.0,7000.0,Electrique,5.0,,Automatique,4.0,4.0,2020.0
267,31999.0,15807.0,Diesel,7.0,,Automatique,4.0,6.0,
268,33099.0,7000.0,Electrique,5.0,,Automatique,4.0,4.0,2020.0
269,8290.0,92936.0,Diesel,5.0,82.0,Manuelle,4.0,4.0,2017.0
270,8990.0,56849.0,Diesel,5.0,85.0,Manuelle,4.0,4.0,2017.0
271,9990.0,81713.0,Diesel,5.0,82.0,Manuelle,4.0,4.0,2018.0
272,10890.0,116538.0,Diesel,5.0,95.0,Semi automatique,4.0,5.0,2016.0
273,8990.0,61538.0,Diesel,5.0,85.0,Manuelle,4.0,4.0,2017.0
274,16990.0,10000.0,Diesel,5.0,117.0,Manuelle,4.0,5.0,2020.0
275,21999.0,10.0,Essence,5.0,,Manuelle,4.0,6.0,2020.0
276,24990.0,66351.0,Diesel,7.0,149.0,Semi automatique,4.0,8.0,2017.0
